department,description,category,priority
ICT,painting required,civil,High
ICT,car engine failure,mechanical,High
Engineering,painting required,civil,Medium
ICT,faulty socket,electrical,Low
Hostel A,painting required,electrical,High
Admin,broken light,electrical,High
Engineering,car engine failure,mechanical,Low
Engineering,painting required,plumbing,Medium
Admin,painting required,mechanical,Low
ICT,broken light,electrical,Medium
Library,broken light,electrical,High
ICT,broken light,electrical,Medium
Engineering,broken light,electrical,High
Engineering,leaking pipe,plumbing,High
Engineering,painting required,electrical,Medium
Library,leaking pipe,plumbing,Low
Hostel A,broken light,electrical,Medium
ICT,car engine failure,mechanical,Medium
Engineering,blocked drain,mechanical,Low
Library,faulty socket,electrical,High
Hostel A,leaking pipe,plumbing,High
Library,car engine failure,mechanical,High
ICT,faulty socket,electrical,Low
Library,leaking pipe,plumbing,Low
ICT,car engine failure,mechanical,Medium
Hostel A,faulty socket,electrical,High
ICT,blocked drain,electrical,Low
Admin,broken light,electrical,Medium
Engineering,faulty socket,electrical,High
ICT,painting required,electrical,Low
Library,car engine failure,mechanical,Medium
Hostel A,car engine failure,mechanical,Low
Library,blocked drain,civil,Low
Admin,car engine failure,mechanical,Medium
ICT,broken light,electrical,Low
Engineering,broken light,electrical,Low
ICT,broken light,electrical,Medium
Admin,blocked drain,plumbing,Low
Engineering,faulty socket,electrical,High
Engineering,faulty socket,electrical,Low
Admin,faulty socket,electrical,Low
ICT,car engine failure,mechanical,High
Admin,leaking pipe,plumbing,High
Library,broken light,electrical,High
Admin,car engine failure,mechanical,Medium
Hostel A,painting required,plumbing,High
Library,car engine failure,mechanical,High
Engineering,leaking pipe,plumbing,Medium
Hostel A,blocked drain,mechanical,Low
Hostel A,car engine failure,mechanical,Medium
Engineering,faulty socket,electrical,Medium
ICT,leaking pipe,plumbing,Medium
Library,car engine failure,mechanical,Low
Admin,faulty socket,electrical,Low
Engineering,painting required,electrical,High
ICT,broken light,electrical,High
Admin,faulty socket,electrical,High
Hostel A,blocked drain,civil,Low
ICT,painting required,civil,Low
Admin,blocked drain,plumbing,High
ICT,car engine failure,mechanical,Low
Library,painting required,civil,Low
Library,leaking pipe,plumbing,Low
Hostel A,faulty socket,electrical,Low
ICT,leaking pipe,plumbing,High
ICT,car engine failure,mechanical,Medium
Admin,faulty socket,electrical,Low
Admin,faulty socket,electrical,Low
Engineering,painting required,electrical,Low
Library,leaking pipe,plumbing,Low
Library,broken light,electrical,Medium
ICT,painting required,electrical,Medium
Admin,blocked drain,civil,Low
Hostel A,faulty socket,electrical,Low
Library,blocked drain,electrical,High
Engineering,car engine failure,mechanical,Medium
Hostel A,faulty socket,electrical,High
Engineering,painting required,civil,Medium
Hostel A,painting required,electrical,Low
Engineering,blocked drain,civil,High
Hostel A,blocked drain,plumbing,High
Admin,broken light,electrical,High
ICT,car engine failure,mechanical,Medium
Library,car engine failure,mechanical,High
Hostel A,blocked drain,plumbing,High
Hostel A,painting required,electrical,High
Engineering,car engine failure,mechanical,High
Library,faulty socket,electrical,High
Hostel A,car engine failure,mechanical,High
Hostel A,blocked drain,plumbing,Low
Engineering,painting required,electrical,Medium
Hostel A,painting required,electrical,Medium
Admin,faulty socket,electrical,Medium
Engineering,faulty socket,electrical,High
Admin,faulty socket,electrical,Low
Library,leaking pipe,plumbing,Medium
Admin,blocked drain,plumbing,High
ICT,blocked drain,electrical,High
Hostel A,car engine failure,mechanical,High
Engineering,blocked drain,plumbing,High
Library,broken light,electrical,Low
ICT,painting required,mechanical,Low
Library,leaking pipe,plumbing,High
Hostel A,broken light,electrical,Low
Admin,painting required,civil,Low
ICT,painting required,electrical,Medium
ICT,blocked drain,plumbing,High
Engineering,painting required,electrical,High
Library,broken light,electrical,Low
ICT,car engine failure,mechanical,Low
Engineering,car engine failure,mechanical,High
ICT,blocked drain,electrical,Medium
Admin,car engine failure,mechanical,High
Engineering,faulty socket,electrical,High
Hostel A,broken light,electrical,High
Hostel A,painting required,plumbing,Medium
Engineering,painting required,electrical,Medium
ICT,broken light,electrical,High
Library,leaking pipe,plumbing,Low
